"Ward #","Ward Name","Councillor Name","TMMIS memberId"
"20","Trinity-Spadina","Adam Vaughan","44"
"18","Davenport","Ana Bailão","486"
"8","York","Anthony Perruzza","38"
"17","Davenport","Cesar Palacio","34"
"41","Scarborough-Rouge","Chin Lee","23"
"24","Willowdale","David Shiner","41"
"34","Don","Denzil Minnan-Wong","29"
"2","Etobicoke","Doug Ford","482"
"3","","Doug Holyday","20"
"11","York","Frances Nunziata","32"
"12","York","Frank Di Giorgio","11"
"36","Scarborough","Gary Crawford","494"
"7","York","Giorgio Mammoliti","25"
"38","Scarborough","Glenn De Baeremaeker","9"
"4","Etobicoke","Gloria Lindsay Luby","24"
"14","Parkdale-High","Gord Perks","37"
"10","York","James Pasternak","483"
"31","Beaches-East","Janet Davis","8"
"25","Don","Jaye Robinson","489"
"21","St.","Joe Mihevc","27"
"23","Willowdale","John Filion","46"
"26","Don","John Parker","36"
"15","Eglinton-Lawrence","Josh Colle","485"
"22","St.","Josh Matlow","488"
"16","Eglinton-Lawrence","Karen Stintz","42"
"27","Toronto","Kristyn Wong-Tam","490"
"9","York","Maria Augimeri","4"
"6","Etobicoke-Lakeshore","Mark Grimes","17"
"29","Toronto-Danforth","Mary Fragedakis","491"
"32","Beaches-East","Mary-Margaret McMahon","492"
"37","Scarborough","Michael Thompson","43"
"35","Scarborough","Michelle Berardinetti","493"
"39","Scarborough-Agincourt","Mike Del Grande","10"
"19","Trinity-Spadina","Mike Layton","487"
"40","Scarborough","Norman Kelly","22"
"28","Toronto","Pam McConnell","26"
"43","Scarborough","Paul Ainslie","2"
"30","Toronto-Danforth","Paula Fletcher","14"
"3","Etobicoke","Peter Leon","981"
"5","Etobicoke-Lakeshore","Peter Milczyn","28"
"42","Scarborough-Rouge","Raymond Cho","7"
"","","Rob Ford","15"
"44","Scarborough","Ron Moeser","30"
"13","Parkdale-High","Sarah Doucette","484"
"33","Don","Shelley Carroll","6"
"1","Etobicoke","Vincent Crisanti","481"
